# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
Metzudat David on Zech.	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zecharia	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zechariah	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zekharia	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zekharya	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zeph	metzudat-david-on-zephaniah	מצודת דוד על צפניה	Metzudat David on Zephaniah
Metzudat David on Zeph.	metzudat-david-on-zephaniah	מצודת דוד על צפניה	Metzudat David on Zephaniah
Metzudat David on Zephaniah	metzudat-david-on-zephaniah	מצודת דוד על צפניה	Metzudat David on Zephaniah
Metzudat Zion on 1 Chr	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1 Chron	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1 Chron.	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1 Chronicles	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1 Kings	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on 1 Samuel	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on 1Ch	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1Ch.	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on 1Sam	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on 1Sam.	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on 2 Chr	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2 Chron	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2 Chron.	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2 Chronicles	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2 Kings	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on 2 Sam	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on 2 Samuel	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on 2Ch	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2Ch.	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on 2Sam	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on 2Sam.	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on Amos	metzudat-zion-on-amos	מצודת ציון על עמוס	Metzudat Zion on Amos
Metzudat Zion on Canticles	metzudat-zion-on-song-of-songs	מצודת ציון על שיר השירים	Metzudat Zion on Song of Songs
Metzudat Zion on Chaggai	metzudat-zion-on-haggai	מצודת ציון על חגי	Metzudat Zion on Haggai
Metzudat Zion on Chronicles I	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on Chronicles II	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on Dan	metzudat-zion-on-daniel	מצודת ציון על דניאל	Metzudat Zion on Daniel
Metzudat Zion on Dan.	metzudat-zion-on-daniel	מצודת ציון על דניאל	Metzudat Zion on Daniel
Metzudat Zion on Daniel	metzudat-zion-on-daniel	מצודת ציון על דניאל	Metzudat Zion on Daniel
Metzudat Zion on Divrei HaYamim Aleph	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on Divrei HaYamim Bet	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on Divrei HaYamim I	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on Divrei HaYamim II	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on Ecc	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Ecc.	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Eccles.	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Ecclesiastes	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Ezek	metzudat-zion-on-ezekiel	מצודת ציון על יחזקאל	Metzudat Zion on Ezekiel
Metzudat Zion on Ezek.	metzudat-zion-on-ezekiel	מצודת ציון על יחזקאל	Metzudat Zion on Ezekiel
Metzudat Zion on Ezekiel	metzudat-zion-on-ezekiel	מצודת ציון על יחזקאל	Metzudat Zion on Ezekiel
Metzudat Zion on Ezr	metzudat-zion-on-ezra	מצודת ציון על עזרא	Metzudat Zion on Ezra
Metzudat Zion on Ezr.	metzudat-zion-on-ezra	מצודת ציון על עזרא	Metzudat Zion on Ezra
Metzudat Zion on Ezra	metzudat-zion-on-ezra	מצודת ציון על עזרא	Metzudat Zion on Ezra
Metzudat Zion on First Chronicles	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on First Kings	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on First Samuel	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on Hab	metzudat-zion-on-habakkuk	מצודת ציון על חבקוק	Metzudat Zion on Habakkuk
Metzudat Zion on Hab.	metzudat-zion-on-habakkuk	מצודת ציון על חבקוק	Metzudat Zion on Habakkuk
Metzudat Zion on Habakkuk	metzudat-zion-on-habakkuk	מצודת ציון על חבקוק	Metzudat Zion on Habakkuk
Metzudat Zion on Habakuk	metzudat-zion-on-habakkuk	מצודת ציון על חבקוק	Metzudat Zion on Habakkuk
Metzudat Zion on Hag	metzudat-zion-on-haggai	מצודת ציון על חגי	Metzudat Zion on Haggai
Metzudat Zion on Hag.	metzudat-zion-on-haggai	מצודת ציון על חגי	Metzudat Zion on Haggai
Metzudat Zion on Haggai	metzudat-zion-on-haggai	מצודת ציון על חגי	Metzudat Zion on Haggai
Metzudat Zion on Havakkuk	metzudat-zion-on-habakkuk	מצודת ציון על חבקוק	Metzudat Zion on Habakkuk
Metzudat Zion on Hos	metzudat-zion-on-hosea	מצודת ציון על הושע	Metzudat Zion on Hosea
Metzudat Zion on Hos.	metzudat-zion-on-hosea	מצודת ציון על הושע	Metzudat Zion on Hosea
Metzudat Zion on Hosea	metzudat-zion-on-hosea	מצודת ציון על הושע	Metzudat Zion on Hosea
Metzudat Zion on Hoshea	metzudat-zion-on-hosea	מצודת ציון על הושע	Metzudat Zion on Hosea
Metzudat Zion on I Chr	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Chr.	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Chronicles	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Divrei Ha-Yamim	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Divrei Ha-yamim	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Divrei HaYamim	metzudat-zion-on-i-chronicles	מצודת ציון על דברי הימים א	Metzudat Zion on I Chronicles
Metzudat Zion on I Kings	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on I Melachim	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on I Melakhim	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on I Sam	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on I Sam.	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on I Samuel	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on I Shemuel	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on I Shmuel	metzudat-zion-on-i-samuel	מצודת ציון על שמואל א	Metzudat Zion on I Samuel
Metzudat Zion on II Chr	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Chr.	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Chronicles	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Divrei Ha-Yamim	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Divrei Ha-yamim	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Divrei HaYamim	metzudat-zion-on-ii-chronicles	מצודת ציון על דברי הימים ב	Metzudat Zion on II Chronicles
Metzudat Zion on II Kings	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on II Melachim	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on II Melakhim	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on II Sam	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on II Sam.	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on II Samuel	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on II Shemuel	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on II Shmuel	metzudat-zion-on-ii-samuel	מצודת ציון על שמואל ב	Metzudat Zion on II Samuel
Metzudat Zion on Isa	metzudat-zion-on-isaiah	מצודת ציון על ישעיהו	Metzudat Zion on Isaiah
Metzudat Zion on Isa.	metzudat-zion-on-isaiah	מצודת ציון על ישעיהו	Metzudat Zion on Isaiah
Metzudat Zion on Isaiah	metzudat-zion-on-isaiah	מצודת ציון על ישעיהו	Metzudat Zion on Isaiah
Metzudat Zion on Iyov	metzudat-zion-on-job	מצודת ציון על איוב	Metzudat Zion on Job
Metzudat Zion on Iyyov	metzudat-zion-on-job	מצודת ציון על איוב	Metzudat Zion on Job
Metzudat Zion on Jdg	metzudat-zion-on-judges	מצודת ציון על שופטים	Metzudat Zion on Judges
Metzudat Zion on Jdg.	metzudat-zion-on-judges	מצודת ציון על שופטים	Metzudat Zion on Judges
Metzudat Zion on Jer	metzudat-zion-on-jeremiah	מצודת ציון על ירמיהו	Metzudat Zion on Jeremiah
Metzudat Zion on Jer.	metzudat-zion-on-jeremiah	מצודת ציון על ירמיהו	Metzudat Zion on Jeremiah
Metzudat Zion on Jeremiah	metzudat-zion-on-jeremiah	מצודת ציון על ירמיהו	Metzudat Zion on Jeremiah
Metzudat Zion on Job	metzudat-zion-on-job	מצודת ציון על איוב	Metzudat Zion on Job
Metzudat Zion on Joel	metzudat-zion-on-joel	מצודת ציון על יואל	Metzudat Zion on Joel
Metzudat Zion on Jon	metzudat-zion-on-jonah	מצודת ציון על יונה	Metzudat Zion on Jonah
Metzudat Zion on Jon.	metzudat-zion-on-jonah	מצודת ציון על יונה	Metzudat Zion on Jonah
Metzudat Zion on Jonah	metzudat-zion-on-jonah	מצודת ציון על יונה	Metzudat Zion on Jonah
Metzudat Zion on Jos	metzudat-zion-on-joshua	מצודת ציון על יהושע	Metzudat Zion on Joshua
Metzudat Zion on Jos.	metzudat-zion-on-joshua	מצודת ציון על יהושע	Metzudat Zion on Joshua
Metzudat Zion on Josh	metzudat-zion-on-joshua	מצודת ציון על יהושע	Metzudat Zion on Joshua
Metzudat Zion on Josh.	metzudat-zion-on-joshua	מצודת ציון על יהושע	Metzudat Zion on Joshua
Metzudat Zion on Joshua	metzudat-zion-on-joshua	מצודת ציון על יהושע	Metzudat Zion on Joshua
Metzudat Zion on Judg	metzudat-zion-on-judges	מצודת ציון על שופטים	Metzudat Zion on Judges
Metzudat Zion on Judg.	metzudat-zion-on-judges	מצודת ציון על שופטים	Metzudat Zion on Judges
Metzudat Zion on Judges	metzudat-zion-on-judges	מצודת ציון על שופטים	Metzudat Zion on Judges
Metzudat Zion on Kings I	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on Kings II	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on Kohelet	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Koheleth	metzudat-zion-on-ecclesiastes	מצודת ציון על קהלת	Metzudat Zion on Ecclesiastes
Metzudat Zion on Mal	metzudat-zion-on-malachi	מצודת ציון על מלאכי	Metzudat Zion on Malachi
Metzudat Zion on Mal.	metzudat-zion-on-malachi	מצודת ציון על מלאכי	Metzudat Zion on Malachi
Metzudat Zion on Malachi	metzudat-zion-on-malachi	מצודת ציון על מלאכי	Metzudat Zion on Malachi
Metzudat Zion on Melachim Aleph	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on Melachim Bet	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on Melachim I	metzudat-zion-on-i-kings	מצודת ציון על מלכים א	Metzudat Zion on I Kings
Metzudat Zion on Melachim II	metzudat-zion-on-ii-kings	מצודת ציון על מלכים ב	Metzudat Zion on II Kings
Metzudat Zion on Mic	metzudat-zion-on-micah	מצודת ציון על מיכה	Metzudat Zion on Micah
Metzudat Zion on Mic.	metzudat-zion-on-micah	מצודת ציון על מיכה	Metzudat Zion on Micah
Metzudat Zion on Micah	metzudat-zion-on-micah	מצודת ציון על מיכה	Metzudat Zion on Micah
Metzudat Zion on Michah	metzudat-zion-on-micah	מצודת ציון על מיכה	Metzudat Zion on Micah
Metzudat Zion on Mikha	metzudat-zion-on-micah	מצודת ציון על מיכה	Metzudat Zion on Micah
Metzudat Zion on Mishlei	metzudat-zion-on-proverbs	מצודת ציון על משלי	Metzudat Zion on Proverbs
Metzudat Zion on Nah	metzudat-zion-on-nahum	מצודת ציון על נחום	Metzudat Zion on Nahum
Metzudat Zion on Nah.	metzudat-zion-on-nahum	מצודת ציון על נחום	Metzudat Zion on Nahum
Metzudat Zion on Nahum	metzudat-zion-on-nahum	מצודת ציון על נחום	Metzudat Zion on Nahum
Metzudat Zion on Neh	metzudat-zion-on-nehemiah	מצודת ציון על נחמיה	Metzudat Zion on Nehemiah
Metzudat Zion on Neh.	metzudat-zion-on-nehemiah	מצודת ציון על נחמיה	Metzudat Zion on Nehemiah
